Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
494,588407,659996,668795,940573
495,655816,567614,692686,891783
496,551934,644680,689598,845578
497,701219,594757,546466,815706
498,656367,677725,629765,947211
499,648748,624107,685781,915977
500,595056,666663,636977,947165
501,618937,670022,670228,884780
502,606863,550800,597640,748516
503,573049,734090,647629,1011593
504,626588,754698,641479,957938
505,541330,573698,681489,881772
506,703044,706425,542907,918651
507,563248,783977,619268,784183
508,557225,642511,675080,869889
509,646821,709747,543555,773103
510,569532,650129,702376,869278
511,619987,634514,675616,906661
512,546462,672700,656190,875282
513,582623,553208,616740,913696
514,625847,603956,713214,832441
515,557383,547899,658975,873971
516,691483,653255,645847,868998
517,531845,499183,813060,801047
518,700062,683706,684872,828703
519,582823,540523,711100,900339
520,571826,641237,763436,770760
521,663332,554318,577486,899346
522,579376,685861,628441,890509
523,652821,527740,683062,774138
524,634067,668045,651016,838370
525,641536,565892,691011,731301
526,563891,648894,682240,847174
527,601689,601055,663179,739796
528,661098,672103,619814,978320
529,549480,651856,704243,893864
530,695700,692351,648912,732551
531,590708,646099,713046,877922
532,668838,573245,694305,886469
533,663426,650158,640897,804378
534,600906,694586,598098,817810
535,642670,652411,604339,743977
536,564567,739452,608897,918193
537,646467,613609,554985,867570
538,535372,654086,696148,722115
539,661797,756148,594225,939439
540,567269,601036,646472,738332
541,552727,673339,574766,962737
542,678508,640020,584992,1440619
543,561419,658056,653890,1204453
544,631869,585314,602483,803222
545,575680,575499,692747,923833
546,589555,625296,678784,820137
547,637155,530077,691315,790298
548,568160,660515,583290,796667
549,672532,551812,619254,705194
550,537463,652187,675429,919639
551,685478,568206,622194,961828
552,643803,694217,659008,903362
553,631193,498674,595298,898464
554,581083,675705,673213,978464
555,620486,558102,688329,882873
556,603029,659595,703888,834180
557,575023,549932,576054,1021651
558,672225,692882,686039,949680
559,563084,497611,722162,735085
560,678966,692771,582753,842270
561,589863,638204,792058,856835
562,565664,567106,629616,795696
563,649957,641167,651109,925042
564,600057,640099,664694,893369
565,661284,639936,692266,764276
566,669649,609164,557051,887715
567,678784,732518,668908,904626
568,532050,600187,678728,729631
569,604031,680748,659554,836345
570,622978,666649,595648,758229
571,559935,549257,610712,972833
572,687700,690438,719064,898786
573,665688,662287,617118,745171
574,651678,655369,683430,1076076
575,579446,675396,552471,1425205
576,601148,669010,682661,793065
577,620313,631198,689630,1028472
578,575013,583555,686314,911798
579,686090,667727,690704,921123
580,567559,510095,701307,783553
581,681672,653852,581051,840899
582,671842,561069,674879,728609
583,554906,596843,680580,784481
584,677743,555559,561181,675350
585,578577,627255,670405,821426
586,673321,528327,567652,762260
587,685026,629681,646882,868737
588,710162,538451,587465,885905
589,569891,529937,674133,687508
590,714595,567978,631020,906610
591,675448,562338,627815,752187
592,656572,584307,662455,868671
593,706934,660113,558013,881136
594,728222,566798,662795,724807
595,659679,625282,579982,851143
596,695775,560808,632396,670951
597,713219,651604,572913,861734
598,657780,539833,570792,853392
599,613824,682339,615887,680328
600,816779,592583,573609,786702
601,537341,635816,578485,675975
602,730797,680907,634067,911988
603,660817,656526,594360,888176
604,659432,633656,665319,736638
605,596814,601284,558129,881860
606,600085,694594,653320,778770
607,641368,628748,677361,704653
608,656483,663533,558489,628613
609,699619,665557,714091,835720
610,542039,548678,598247,564413
611,690498,646677,644475,845923
612,674781,541045,753531,892478
613,658387,579034,687345,687979
614,578167,533954,692593,866138
615,613269,617318,716839,871848
616,608949,498404,689444,670167
617,580294,475054,686468,741621
618,671748,620849,707270,636675
619,521713,472591,696969,557841
620,699680,567488,682478,728950
621,658228,542268,728148,675051
622,550259,581522,720925,668236
623,675275,532750,660715,673843
624,571715,569517,693610,1000997
625,659763,515456,694823,685618
626,552363,630400,560234,785516
627,802297,569466,611524,622114
628,880143,607834,642259,772300
629,802190,587017,535325,627666
630,804845,685717,662973,814180
631,822181,557290,682493,780697
632,719208,692057,636456,595047
633,731614,578521,590008,602058
634,703551,669724,677444,772533
635,674959,655257,530529,554905
636,670418,681243,600966,692392
637,700440,625939,651193,553510
638,569139,594836,560761,494023
639,696152,708908,711753,597575
640,643047,688888,699288,698304
641,653750,640640,564055,588529
642,582049,784234,717362,633120
643,688002,682679,686500,804467
644,624176,676679,633147,680128
645,581097,727616,599338,621969
646,661513,597095,696582,619199
647,503153,655275,619801,710172
648,689696,674384,679675,793359
649,557742,517598,605645,637603
650,561097,538973,681065,577630
651,646527,601191,655154,762190
652,517621,482454,599679,567292
653,570520,548757,625492,483424
654,534528,515680,579016,781267
655,571444,503662,682833,701471
656,579161,549247,558890,744182
657,550964,668082,713111,635425
658,590983,510398,671212,750411
659,507352,575899,565990,596451
660,541115,656852,645921,768031
661,531491,595984,559809,753755
662,506662,576198,667880,825223
663,567684,686453,558143,801584
664,638280,495997,687027,610890
665,542193,671105,586024,999235
666,570913,585142,605072,597668
667,586550,648921,678224,791959
668,524703,559888,544609,520966
669,564269,672420,673596,698042
670,639614,529521,609052,696689
671,529993,676717,578713,741980
672,663602,649826,660360,724461
673,570498,665291,601242,783292
674,549046,695085,634417,694151
675,631487,769482,676559,565366
676,573003,599175,703781,634958
677,586360,710750,563719,1291964
678,598830,721448,706971,1082794
679,573959,545029,659022,852543
680,499552,697529,587754,774884
681,537598,645824,666538,671198
682,536198,615190,597249,697828
683,481030,584115,618745,643113
684,540154,638685,556562,571724
685,439137,494686,692771,750476
686,504782,642437,626528,612364
687,475279,524208,611608,682912
688,535125,453804,647932,658476
689,425864,636758,527381,730246
690,488528,522660,702255,719092
691,459272,552308,563649,658359
692,470939,527749,565282,578647
693,514696,643510,638419,657206
694,497130,503340,585617,576333
695,391844,676764,596810,572774
